Crop,CoraDist
ADILABAD,ADILABAD
ANANTPUR,ANANTAPUR
BAGALKOT,BAGALKOTE
BANGALORE (RURAL),BANGALORE RURAL
BANGALORE (URBAN),BANGALORE
BELGAUM,BELGAUM
BELLARY,BELLARY
BIDAR,BIDAR
BIJAPUR,BIJAPUR
CHAMARAJANNAGAR,CHAMRAJANAGAR
CHIKMAGALUR,CHICKMAGALUR
CHITRADURGA,CHITRADURGA
CHITTOOR,CHITTOOR
CUDDAPAH,CUDDAPAH
DAKSHINAKANNADA,
DAVANGERE,DEVANAGERE
DHARWAD,DHARWAD
EAST GODAVARI,EAST GODAVARI
GADAG,GADAG
GULBARGA,GULBARGA
GUNTUR,GUNTUR
HASSAN,HASSAN
HAVERI,HAVERY
HYDERABAD,
KARIMNAGAR,KARIMNAGAR
KHAMMAM,KHAMMAM
KODAGU(COORG),
KOLAR,KOLAR
KOPPAL,KOPPAL
KRISHNA,KRISHNA
KURNOOL,KURNOOL
MAHABOOBNAGAR,MAHABUBNAGAR
MANDYA,MANDYA
MEDAK,MEDAK
MYSORE,MYSORE
NALGONDA,NALGONDA
NELLORE,NELLORE
NIZAMABAD,NIZAMABAD
PRAKASAM,PRAKASAM
RAICHUR,RAICHUR
RANGAREDDY,RANGA REDDY
SHIMOGA,SHIMOGA
SRIKAKULAM,SRIKAKULAM
TUMKUR,TUMKUR
UDUPI,
UTTARAKANNADA,
VISAKHAPATNAM,VIZAG
VIZIANAGARM,VIZIANAGARAM
WARANGAL,WARANGAL
WEST GODAVARI,WEST GODAVARI
